iter	Logloss
0	0.6855547931
1	0.6792183959
2	0.6748183344
3	0.6708316542
4	0.6668304687
5	0.6640005097
6	0.6617594451
7	0.6597583154
8	0.6579627745
9	0.656421532
10	0.6550744551
11	0.6538028317
12	0.6527451534
13	0.651079198
14	0.6500405696
15	0.6491086046
16	0.6483157423
17	0.6471875556
18	0.6464591927
19	0.6457633816
20	0.6450857445
21	0.6440205788
22	0.6434642715
23	0.6429248469
24	0.6423595161
25	0.6418976844
26	0.6414514815
27	0.6409639936
28	0.6405380878
29	0.6400917294
30	0.6397204844
31	0.6392783382
32	0.6389714082
33	0.6385841028
34	0.638241166
35	0.6374009516
36	0.6365788452
37	0.6362758959
38	0.6359199931
39	0.6355826639
40	0.6352687719
41	0.6348142408
42	0.6345217106
43	0.6341956647
44	0.6338322972
45	0.6335428506
46	0.6333019387
47	0.6330996701
48	0.6328531104
49	0.6325982387
50	0.6323944122
51	0.6321391197
52	0.6318598857
53	0.6316008674
54	0.6313854881
55	0.6311764087
56	0.6309306027
57	0.6306835926
58	0.6304168298
59	0.6300347804
60	0.6297914916
61	0.6295834806
62	0.6293056193
63	0.6291165657
64	0.6288144452
65	0.6286741131
66	0.6284558585
67	0.6281916296
68	0.6279762297
69	0.6277671624
70	0.627617905
71	0.6274266707
72	0.6272187563
73	0.6270035179
74	0.6268301413
75	0.6266313868
76	0.6263401438
77	0.626065097
78	0.6258514794
79	0.6257077027
80	0.6255194187
81	0.6253428354
82	0.6251700923
83	0.6249666548
84	0.6247382075
85	0.6245319794
86	0.6243311595
87	0.6241015963
88	0.6239108622
89	0.6236956429
90	0.6234815527
91	0.6229718299
92	0.6227714675
93	0.6225802834
94	0.622442239
95	0.6222481396
96	0.6220993238
97	0.621910638
98	0.6217435429
99	0.6215778742
100	0.6214444893
101	0.6212887461
102	0.6211188237
103	0.6209757642
104	0.6207986785
105	0.6205980566
106	0.6204422601
107	0.6202726759
108	0.6201582879
109	0.6200222941
110	0.6198733074
111	0.6196842664
112	0.6195319953
113	0.6194105777
114	0.6192806591
115	0.6191074286
116	0.6189345463
117	0.618778554
118	0.618579852
119	0.6184069435
120	0.6181895787
121	0.6180558617
122	0.6178663233
123	0.6177434697
124	0.6175895336
125	0.6174452809
126	0.6173205638
127	0.6171945947
128	0.6170232626
129	0.616896239
130	0.6167450775
131	0.6165651567
132	0.6163598136
133	0.6161885169
134	0.6159881761
135	0.6157977626
136	0.6155951936
137	0.615506812
138	0.6153639521
139	0.6152230043
140	0.6150586313
141	0.6149421168
142	0.6148099128
143	0.6146796936
144	0.6145828784
145	0.6144348118
146	0.614249642
147	0.6140910381
148	0.6139839264
149	0.6138694309
150	0.6137309954
151	0.6136150246
152	0.6135065423
153	0.6133797668
154	0.6132694357
155	0.6131637624
156	0.6130286417
157	0.6129006235
158	0.6127750912
159	0.6126243852
160	0.6124595766
161	0.6123254644
162	0.6121810689
163	0.6121032208
164	0.6119448616
165	0.6118381978
166	0.6113904262
167	0.6112341649
168	0.6110945098
169	0.6109443956
170	0.6108417022
171	0.6107174172
172	0.6105982266
173	0.6105109146
174	0.6103720429
175	0.6102867194
176	0.610185155
177	0.6100554654
178	0.6099235215
179	0.6097712203
180	0.6096484908
181	0.6095168633
182	0.6093807594
183	0.6091974888
184	0.6091245315
185	0.6090112576
186	0.6088171985
187	0.608673424
188	0.6085547085
189	0.608401322
190	0.6082995353
191	0.6081410332
192	0.608022292
193	0.6079364554
194	0.6078055018
195	0.6076771738
196	0.6075639829
197	0.607415442
198	0.6072618397
199	0.6071100355
200	0.6069716374
201	0.6068325824
202	0.6066985243
203	0.6065403377
204	0.6064329137
205	0.6063068205
206	0.6061550321
207	0.6060375883
208	0.605940557
209	0.6057727579
210	0.6056508433
211	0.6055142514
212	0.6053697996
213	0.6052618564
214	0.6051164359
215	0.6049828659
216	0.6048847746
217	0.6047546347
218	0.6046555278
219	0.6045036008
220	0.60436397
221	0.6042251336
222	0.6040969417
223	0.6039485048
224	0.603750798
225	0.6036260676
226	0.6035296475
227	0.6034150546
228	0.6032918543
229	0.6031539505
230	0.6030210813
231	0.6029158717
232	0.6027923193
233	0.6026550487
234	0.602583466
235	0.6024581749
236	0.6023329423
237	0.6022063525
238	0.6020885853
239	0.6019575734
240	0.6018547917
241	0.6017172764
242	0.6015739064
243	0.601431846
244	0.601322191
245	0.601191105
246	0.6010446018
247	0.600916651
248	0.6008049057
249	0.600618189
250	0.600487918
251	0.6004177927
252	0.6001052026
253	0.6000071724
254	0.5998959021
255	0.5997822251
256	0.5996363554
257	0.5994990179
258	0.5993885543
259	0.599300653
260	0.5992032515
261	0.599091227
262	0.598987185
263	0.5988848993
264	0.5987445862
265	0.5986241145
266	0.5985103672
267	0.5983397787
268	0.5982149503
269	0.5981038824
270	0.5979849237
271	0.5978957641
272	0.5977690964
273	0.5976206197
274	0.597495827
275	0.5974111268
276	0.5972818057
277	0.5971510412
278	0.5970497181
279	0.5968908639
280	0.5967865287
281	0.5966849475
282	0.5965615496
283	0.5964110871
284	0.5962819486
285	0.5961717987
286	0.5960280597
287	0.5958841144
288	0.5957819407
289	0.5956588626
290	0.5955528569
291	0.5954634512
292	0.5953466481
293	0.5952302504
294	0.5950824117
295	0.5949791677
296	0.5948820915
297	0.5947640218
298	0.5946621285
299	0.594555933
300	0.5944267941
301	0.5943215444
302	0.5942083805
303	0.5941050146
304	0.5939825089
305	0.5938888926
306	0.5937641413
307	0.593659984
308	0.5935563655
309	0.5934393566
310	0.5933356077
311	0.5932152756
312	0.5931199775
313	0.5929974701
314	0.5929362809
315	0.5928380204
316	0.59267919
317	0.5925678137
318	0.5924366443
319	0.5923338472
320	0.5922296882
321	0.5921574803
322	0.5920255763
323	0.5919108253
324	0.5918068295
325	0.5917179586
326	0.5915974013
327	0.5914766778
328	0.591368697
329	0.59125955
330	0.5911190725
331	0.5910123064
332	0.5909098595
333	0.5908095181
334	0.5907125687
335	0.590619192
336	0.5905489303
337	0.590445033
338	0.5903212636
339	0.5902012889
340	0.5900849272
341	0.5899698356
342	0.5898652229
343	0.5897370623
344	0.589651493
345	0.5895268364
346	0.5894259073
347	0.5893243977
348	0.5892240452
349	0.5891366365
350	0.589060178
351	0.5889644187
352	0.5888500999
353	0.5887506009
354	0.5886412201
355	0.5885556067
356	0.5884598522
357	0.5883682443
358	0.588245028
359	0.5881290384
360	0.5880448936
361	0.5879468201
362	0.5878555105
363	0.5877088157
364	0.5875548853
365	0.5874088022
366	0.5873008349
367	0.5871796913
368	0.5870875691
369	0.5869600799
370	0.5868601576
371	0.5867737847
372	0.5866699714
373	0.5865483682
374	0.5864072098
375	0.5863074187
376	0.5862236305
377	0.5861599817
378	0.5860430561
379	0.5858937985
380	0.5857684956
381	0.5856503826
382	0.5855271239
383	0.5854090181
384	0.5852863266
385	0.5851883421
386	0.5850631117
387	0.5849613071
388	0.5848568575
389	0.5847581533
390	0.5846629734
391	0.5846010408
392	0.5845251769
393	0.5844263837
394	0.5843029226
395	0.5842326242
396	0.5841307832
397	0.584021335
398	0.5839497135
399	0.5838562811
400	0.5837536076
401	0.5836532945
402	0.5835469454
403	0.583468552
404	0.5833609622
405	0.5832500236
406	0.5831425869
407	0.583045455
408	0.582939433
409	0.5828343724
410	0.5827634345
411	0.5826782364
412	0.5825758058
413	0.5824689467
414	0.5823697852
415	0.5822956893
416	0.5822173236
417	0.5821524531
418	0.5820881938
419	0.5819975274
420	0.5819317522
421	0.5818029329
422	0.5817398936
423	0.5816154908
424	0.5815443588
425	0.5814222114
426	0.5811242505
427	0.5810134236
428	0.5808810142
429	0.580784636
430	0.5806684828
431	0.5805660099
432	0.5804909208
433	0.580410417
434	0.5802760329
435	0.5801838441
436	0.5800984913
437	0.5800013555
438	0.579868194
439	0.5797872693
440	0.5796730637
441	0.5795724546
442	0.579487827
443	0.5793915198
444	0.5793112642
445	0.5792172719
446	0.5791046528
447	0.5790040679
448	0.5789229943
449	0.5788018848
450	0.5787053545
451	0.5785755988
452	0.5784661817
453	0.5783497756
454	0.57824566
455	0.578130828
456	0.5780038136
457	0.5779178399
458	0.5778175253
459	0.5777197373
460	0.5776280156
461	0.5775264854
462	0.5774167364
463	0.5772986846
464	0.5772229743
465	0.5771594363
466	0.5770785203
467	0.576981748
468	0.5768615361
469	0.5767743201
470	0.5766949154
471	0.5766172493
472	0.5765069671
473	0.5764038177
474	0.5763005207
475	0.5762120677
476	0.5761319875
477	0.5760322551
478	0.5759665811
479	0.5758615709
480	0.5757646833
481	0.5756546044
482	0.5755430404
483	0.5754768038
484	0.5753412245
485	0.5752503347
486	0.5751659336
487	0.5750848411
488	0.5750062444
489	0.5748989494
490	0.5747827717
491	0.5746695771
492	0.5745320182
493	0.5744324225
494	0.5743586002
495	0.5742609963
496	0.5741361765
497	0.5740397859
498	0.5739357813
499	0.573826068
