iter	Logloss
0	0.6912932578
1	0.6896745064
2	0.6885075378
3	0.6875422612
4	0.6866883679
5	0.6859745211
6	0.6852879704
7	0.6847750165
8	0.6843701615
9	0.6839901303
10	0.6833510345
11	0.6830408435
12	0.6828177619
13	0.682498997
14	0.6822053942
15	0.681982835
16	0.681732786
17	0.6815769841
18	0.6814299068
19	0.6809497012
20	0.6806802752
21	0.6805054491
22	0.6803654023
23	0.6802011097
24	0.6800671792
25	0.6798961138
26	0.6797559522
27	0.6796319905
28	0.6793860305
29	0.6792081313
30	0.6790425913
31	0.6789458057
32	0.6788427616
33	0.6787489209
34	0.6786497538
35	0.6785320398
36	0.6782486412
37	0.6781296213
38	0.6780462939
39	0.6779657999
40	0.6778509803
41	0.677763118
42	0.6775963006
43	0.6775030591
44	0.6773067562
45	0.6772098656
46	0.6770979611
47	0.6770075423
48	0.6768262108
49	0.6767144501
50	0.6766266324
51	0.6765722464
52	0.6763490733
53	0.6762061775
54	0.6761113242
55	0.6760249843
56	0.6759295662
57	0.6758301403
58	0.6757002902
59	0.6755282023
60	0.6754311748
61	0.6753633286
62	0.675235631
63	0.6751376157
64	0.6750794587
65	0.6749993482
66	0.6748693573
67	0.6747576203
68	0.6746330788
69	0.6745429605
70	0.6745016133
71	0.6744608103
72	0.6742750031
73	0.6741845042
74	0.6740961388
75	0.6740364881
76	0.673926277
77	0.6738510219
78	0.6737932676
79	0.6737358884
80	0.6736836286
81	0.6736251224
82	0.6734483897
83	0.6733983636
84	0.6733645165
85	0.6732599607
86	0.6731515497
87	0.6731014405
88	0.6730419411
89	0.6728954377
90	0.6728042638
91	0.6727337262
92	0.6726746853
93	0.672587825
94	0.6725317632
95	0.6724364297
96	0.672376212
97	0.6723336908
98	0.672270085
99	0.6722212664
100	0.6721513974
101	0.6720656092
102	0.672004563
103	0.6719013274
104	0.671855214
105	0.6718105996
106	0.6717327819
107	0.6716748051
108	0.671628402
109	0.6715598092
110	0.6715087333
111	0.6714595801
112	0.6714092804
113	0.6713641447
114	0.6713032391
115	0.671236246
116	0.6711691027
117	0.6711237815
118	0.6710635035
119	0.6710325279
120	0.6709663221
121	0.6709300415
122	0.6708710559
123	0.6708033666
124	0.670744813
125	0.670693478
126	0.6706330485
127	0.6706063127
128	0.6705228063
129	0.6704527558
130	0.6704088492
131	0.6703465084
132	0.6702980146
133	0.6702506027
134	0.670176379
135	0.6701127606
136	0.6700546149
137	0.6699840469
138	0.6699543578
139	0.6698947827
140	0.6698531819
141	0.6698278184
142	0.6697700862
143	0.6697158663
144	0.6696858524
145	0.6696519374
146	0.6696018444
147	0.6695189528
148	0.6694929185
149	0.6694499456
150	0.6693256493
151	0.6692931481
152	0.6692657155
153	0.6691931233
154	0.6691607439
155	0.6691036969
156	0.6690623142
157	0.6690282323
158	0.6689701162
159	0.6689244184
160	0.6688854777
161	0.6688386825
162	0.6687753045
163	0.6686986021
164	0.6686002482
165	0.668542597
166	0.6685133658
167	0.6684920296
168	0.6684424803
169	0.6684108763
170	0.6683640396
171	0.6683002061
172	0.6682389613
173	0.6681930661
174	0.6680926101
175	0.668035658
176	0.6680032046
177	0.6679745768
178	0.6679134986
179	0.6678706962
180	0.6678339127
181	0.6677339088
182	0.6676788957
183	0.6676209144
184	0.6675694459
185	0.6675369774
186	0.667500631
187	0.6674724859
188	0.6673842561
189	0.6673341543
190	0.6673067668
191	0.6672689477
192	0.6672274715
193	0.6671901128
194	0.6671208919
195	0.6670827072
196	0.6670457748
197	0.6669877622
198	0.6669447893
199	0.6669027546
200	0.6668453778
201	0.666808096
202	0.6667359706
203	0.6666908287
204	0.6666649166
205	0.6666072491
206	0.6665688059
207	0.6665249432
208	0.6664791209
209	0.6664395091
210	0.6664058915
211	0.6663439081
212	0.6663155894
213	0.6662395076
214	0.6661542204
215	0.6661228953
216	0.6660482722
217	0.6660240465
218	0.6659458156
219	0.6658666026
220	0.665835528
221	0.6657964334
222	0.6657108854
223	0.6656141377
224	0.6655763741
225	0.6655436905
226	0.6654925794
227	0.6654595548
228	0.6654196758
229	0.6653812658
230	0.665343703
231	0.66526349
232	0.665194756
233	0.6651471164
234	0.6650590764
235	0.6650037141
236	0.6649770001
237	0.6649423028
238	0.6649062311
239	0.6648702101
240	0.6648043435
241	0.6647618384
242	0.6646580094
243	0.6646331079
244	0.6645926794
245	0.6645490153
246	0.6644867761
247	0.6644640538
248	0.6643928956
249	0.664343843
250	0.6642865124
251	0.6642508004
252	0.664202691
253	0.6641657757
254	0.6641203589
255	0.664093303
256	0.6640674899
257	0.6640249661
258	0.6639870722
259	0.6639597261
260	0.6639280592
261	0.6638931124
262	0.663818751
263	0.6637748956
264	0.6637475548
265	0.6637288724
266	0.6636868733
267	0.6636359883
268	0.6635981252
269	0.6635505955
270	0.6634864313
271	0.663389168
272	0.6633416938
273	0.6633201519
274	0.6632990856
275	0.6632102762
276	0.663170973
277	0.6631079104
278	0.6630726728
279	0.6630463832
280	0.6629737067
281	0.6629407253
282	0.6628933212
283	0.6628718185
284	0.6628246025
285	0.6628072918
286	0.6627512963
287	0.6627149941
288	0.6626660545
