iter	Passed	Remaining
413	3719	5265
414	3729	5257
415	3738	5248
416	3746	5237
417	3754	5227
418	3763	5217
419	3771	5208
420	3780	5199
421	3788	5188
422	3798	5181
423	3805	5169
424	3813	5158
425	3823	5152
426	3833	5144
427	3842	5135
428	3852	5127
429	3864	5123
430	3875	5115
431	3885	5108
432	3894	5099
433	3902	5089
434	3912	5081
435	3921	5072
436	3931	5064
437	3939	5054
438	3950	5048
439	3959	5039
440	3968	5030
441	3976	5020
442	3984	5010
443	3993	5000
444	4001	4990
445	4010	4981
446	4017	4970
447	4026	4960
448	4035	4952
449	4048	4947
450	4058	4940
451	4067	4931
452	4077	4923
453	4084	4912
454	4094	4904
455	4102	4894
456	4112	4886
457	4119	4874
458	4129	4867
459	4137	4856
460	4147	4848
461	4156	4840
462	4164	4830
463	4174	4822
464	4182	4812
465	4191	4803
466	4198	4792
467	4208	4783
468	4217	4775
469	4226	4766
470	4235	4756
471	4243	4746
472	4252	4737
473	4259	4727
474	4269	4718
475	4278	4709
476	4286	4700
477	4293	4689
478	4302	4679
479	4312	4671
480	4322	4663
481	4331	4655
482	4341	4646
483	4351	4639
484	4359	4629
485	4370	4622
486	4381	4614
487	4391	4607
488	4399	4597
489	4409	4589
490	4417	4579
491	4427	4571
492	4437	4563
493	4447	4555
494	4456	4546
495	4464	4536
496	4474	4528
497	4481	4517
498	4490	4508
499	4499	4499
500	4508	4490
501	4518	4482
502	4527	4473
503	4537	4465
504	4546	4456
505	4555	4447
506	4562	4436
507	4571	4427
508	4579	4418
509	4587	4407
510	4596	4398
511	4605	4389
512	4613	4379
513	4622	4370
514	4630	4361
515	4639	4351
516	4647	4341
517	4655	4331
518	4664	4322
519	4673	4313
520	4682	4304
521	4692	4296
522	4700	4287
523	4711	4279
524	4719	4270
525	4726	4259
526	4736	4250
527	4744	4241
528	4755	4234
529	4767	4228
530	4776	4218
531	4787	4211
532	4794	4201
533	4804	4192
534	4815	4185
535	4824	4176
536	4834	4168
537	4843	4159
538	4855	4152
539	4864	4144
540	4874	4135
541	4882	4125
542	4891	4117
543	4902	4109
544	4912	4100
545	4923	4094
546	4937	4089
547	4948	4081
548	4960	4074
549	4969	4065
550	4980	4058
551	4990	4049
552	4999	4041
553	5006	4030
554	5016	4022
555	5024	4012
556	5032	4002
557	5043	3995
558	5055	3988
559	5064	3979
560	5084	3978
561	5092	3969
562	5102	3960
563	5112	3952
564	5121	3942
565	5129	3933
566	5139	3924
567	5150	3917
568	5160	3908
569	5169	3900
570	5182	3893
571	5192	3885
572	5203	3877
573	5213	3869
574	5226	3863
575	5236	3854
576	5249	3848
577	5258	3839
578	5267	3829
579	5279	3823
580	5288	3813
581	5296	3803
582	5304	3794
583	5313	3785
584	5321	3775
585	5329	3765
586	5340	3757
587	5351	3749
588	5362	3741
589	5371	3732
590	5380	3723
591	5389	3714
592	5397	3704
593	5405	3694
594	5414	3685
595	5423	3676
596	5432	3667
597	5441	3658
598	5451	3649
599	5460	3640
600	5469	3630
601	5478	3622
602	5489	3614
603	5498	3604
604	5508	3596
605	5515	3586
606	5524	3576
607	5533	3567
608	5541	3558
609	5551	3549
610	5561	3540
611	5569	3531
612	5578	3521
613	5587	3512
614	5597	3504
615	5605	3494
616	5615	3485
617	5623	3476
618	5632	3466
619	5639	3456
620	5647	3446
621	5656	3437
622	5664	3427
623	5674	3419
624	5684	3410
625	5695	3402
626	5703	3393
627	5711	3383
628	5721	3374
629	5730	3365
630	5740	3357
631	5750	3348
632	5759	3339
633	5768	3330
634	5775	3319
635	5784	3310
636	5793	3301
637	5801	3291
638	5810	3282
639	5818	3273
640	5827	3263
641	5837	3255
642	5846	3246
643	5855	3237
644	5864	3227
645	5874	3219
646	5883	3209
647	5892	3200
648	5900	3190
649	5908	3181
650	5917	3172
651	5928	3164
652	5938	3155
653	5948	3147
654	5962	3140
655	5973	3132
656	5982	3123
657	5993	3115
658	6002	3106
659	6016	3099
660	6028	3091
661	6041	3084
662	6052	3076
663	6062	3067
664	6071	3058
665	6079	3049
666	6087	3039
667	6094	3029
668	6103	3019
669	6114	3011
670	6122	3001
671	6131	2992
672	6139	2982
673	6146	2972
674	6154	2963
675	6160	2952
676	6169	2943
677	6177	2933
678	6186	2924
679	6195	2915
680	6206	2907
681	6215	2898
682	6225	2889
683	6237	2881
684	6247	2872
685	6256	2863
686	6266	2855
687	6276	2846
688	6285	2837
689	6296	2829
690	6306	2820
691	6317	2811
692	6326	2802
693	6335	2793
694	6344	2784
695	6353	2775
696	6366	2767
697	6374	2757
698	6384	2749
699	6393	2740
700	6403	2731
701	6410	2721
702	6419	2712
703	6432	2704
704	6440	2694
705	6448	2685
706	6456	2675
707	6464	2666
708	6471	2656
709	6479	2646
710	6487	2636
711	6496	2627
712	6504	2618
713	6515	2609
714	6524	2600
715	6535	2592
716	6546	2584
717	6557	2575
718	6567	2566
719	6576	2557
720	6584	2547
721	6592	2538
722	6600	2528
723	6609	2519
724	6618	2510
725	6628	2501
726	6637	2492
727	6647	2483
728	6655	2474
729	6665	2465
730	6673	2455
731	6681	2446
732	6688	2436
733	6696	2426
734	6704	2417
735	6714	2408
736	6721	2398
737	6730	2389
738	6740	2380
739	6748	2371
740	6758	2362
741	6766	2352
742	6775	2343
743	6783	2333
744	6791	2324
745	6800	2315
746	6811	2307
747	6820	2297
748	6830	2288
749	6840	2280
750	6849	2271
751	6857	2261
752	6866	2252
753	6873	2242
754	6881	2233
755	6890	2223
756	6898	2214
757	6909	2206
758	6917	2196
759	6927	2187
760	6936	2178
761	6945	2169
762	6953	2159
763	6959	2149
764	6967	2140
765	6977	2131
766	6984	2121
767	6994	2112
768	7003	2103
769	7013	2095
770	7023	2085
771	7034	2077
772	7044	2068
773	7051	2059
774	7061	2050
775	7070	2040
776	7081	2032
777	7093	2024
778	7101	2014
779	7111	2005
780	7119	1996
781	7127	1987
782	7135	1977
783	7144	1968
784	7154	1959
785	7162	1950
786	7172	1941
787	7182	1932
788	7193	1923
789	7203	1914
790	7212	1905
791	7222	1896
792	7231	1887
793	7242	1879
794	7252	1870
795	7260	1860
796	7269	1851
797	7278	1842
798	7287	1833
799	7297	1824
800	7305	1814
801	7315	1805
802	7324	1796
803	7338	1789
804	7348	1780
805	7356	1770
806	7367	1762
807	7377	1753
808	7387	1744
809	7395	1734
810	7405	1725
811	7415	1716
812	7423	1707
813	7432	1698
814	7439	1688
815	7451	1680
816	7460	1671
817	7472	1662
818	7479	1652
819	7488	1643
820	7497	1634
821	7506	1625
822	7514	1616
823	7522	1606
824	7529	1597
825	7539	1588
826	7549	1579
827	7557	1569
828	7567	1560
829	7577	1552
830	7587	1542
831	7597	1534
832	7605	1524
833	7617	1516
834	7624	1506
835	7631	1497
836	7641	1488
837	7651	1479
838	7658	1469
839	7668	1460
840	7677	1451
841	7686	1442
842	7694	1433
843	7702	1423
844	7711	1414
845	7720	1405
846	7727	1395
847	7737	1386
848	7747	1378
849	7756	1368
850	7767	1359
851	7775	1350
852	7784	1341
853	7793	1332
854	7802	1323
855	7809	1313
856	7819	1304
857	7829	1295
858	7840	1286
859	7849	1277
860	7857	1268
861	7865	1259
862	7872	1249
863	7879	1240
864	7888	1231
865	7895	1221
866	7904	1212
867	7916	1203
868	7924	1194
869	7935	1185
870	7946	1176
871	7956	1167
872	7978	1160
873	7992	1152
874	8002	1143
875	8016	1134
876	8027	1125
877	8042	1117
878	8104	1115
879	8121	1107
880	8148	1100
881	8158	1091
882	8169	1082
883	8180	1073
884	8190	1064
885	8199	1055
886	8207	1045
887	8216	1036
888	8225	1027
889	8234	1017
890	8245	1008
891	8258	999
892	8267	990
893	8276	981
894	8285	972
895	8295	962
896	8304	953
897	8315	944
898	8325	935
899	8335	926
900	8345	917
901	8355	907
902	8364	898
903	8371	889
904	8382	879
905	8390	870
906	8399	861
907	8409	852
908	8418	842
909	8429	833
910	8436	824
911	8447	815
912	8455	805
913	8464	796
914	8473	787
915	8482	777
916	8491	768
917	8498	759
918	8509	750
919	8518	740
920	8528	731
921	8539	722
922	8549	713
923	8558	703
924	8570	694
925	8580	685
926	8592	676
927	8603	667
928	8615	658
929	8625	649
930	8636	640
931	8648	631
932	8661	622
933	8672	612
934	8681	603
935	8691	594
936	8698	584
937	8707	575
938	8713	566
939	8722	556
940	8728	547
941	8734	537
942	8742	528
943	8751	519
944	8760	509
945	8769	500
946	8779	491
947	8790	482
948	8800	472
949	8810	463
950	8819	454
951	8832	445
952	8842	436
953	8854	426
954	8863	417
955	8872	408
956	8881	399
957	8890	389
958	8899	380
959	8909	371
960	8921	362
961	8929	352
962	8938	343
963	8946	334
964	8955	324
965	8962	315
966	8970	306
967	8977	296
968	8986	287
969	8991	278
970	9000	268
971	9007	259
972	9014	250
973	9022	240
974	9040	231
975	9049	222
976	9057	213
977	9066	203
978	9075	194
979	9087	185
980	9095	176
981	9103	166
982	9110	157
983	9120	148
984	9128	139
985	9139	129
986	9149	120
987	9156	111
988	9166	101
989	9173	92
990	9181	83
991	9189	74
992	9198	64
993	9205	55
994	9214	46
995	9221	37
996	9230	27
997	9238	18
998	9246	9
999	9253	0
