PreparationMethod,RandomForestClassifier,GaussianNB,KNeighborsClassifier,XGBClassifier,CatBoostClassifier
simple_encoding,0.6282537284389917,0.5196591048479988,0.5760441303574672,0.6421149614641001,0.6418849421864552
PCA,0.6149981931224011,0.5522408544261059,0.5377096081241257,0.6204715802652396,0.6230348837456505
random_projection,0.5001496082525225,0.3499473471871541,0.5178506045682544,0.5024595583600554,0.5090913798932817
UMAP,0.556692194681382,0.45979314392793214,0.551210210895765,0.5481794995646501,0.5542352238301804
