PreparationMethod,RandomForestClassifier,GaussianNB,KNeighborsClassifier,XGBClassifier,CatBoostClassifier
simple_encoding,0.640611182077233,0.5889751400216173,0.5830794929743539,0.6486194359830991,0.6485703055910386
PCA,0.6292129311191903,0.5923651370737939,0.542939962660902,0.6304903213127641,0.6319151026825194
random_projection,0.5424486587402968,0.5378795322786676,0.5237791097572959,0.5362582293406701,0.5435295273656284
UMAP,0.5747764567161245,0.5350299695391569,0.5565490812616685,0.5684386361403164,0.5743342831875798
